STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TAVG_mar,county,state,fips
US1HIHI0052,"PAHOA 3.3 SSE, HI US",19.459069,-154.921985,254.2,3/7/20,,,,,
US1HIHI0052,"PAHOA 3.3 SSE, HI US",19.459069,-154.921985,254.2,3/9/20,,,,,
US1HIHI0052,"PAHOA 3.3 SSE, HI US",19.459069,-154.921985,254.2,3/10/20,,,,,
US1HIHI0052,"PAHOA 3.3 SSE, HI US",19.459069,-154.921985,254.2,3/12/20,,,,,
US1HIHI0052,"PAHOA 3.3 SSE, HI US",19.459069,-154.921985,254.2,3/13/20,,,,,
US1HIHI0052,"PAHOA 3.3 SSE, HI US",19.459069,-154.921985,254.2,3/15/20,,,,,
US1HIHI0052,"PAHOA 3.3 SSE, HI US",19.459069,-154.921985,254.2,3/16/20,,,,,
US1HIHI0052,"PAHOA 3.3 SSE, HI US",19.459069,-154.921985,254.2,3/17/20,,,,,
US1HIHI0052,"PAHOA 3.3 SSE, HI US",19.459069,-154.921985,254.2,3/19/20,,,,,
US1HIHI0052,"PAHOA 3.3 SSE, HI US",19.459069,-154.921985,254.2,3/21/20,,,,,
US1HIHI0052,"PAHOA 3.3 SSE, HI US",19.459069,-154.921985,254.2,3/22/20,,,,,
US1HIHI0052,"PAHOA 3.3 SSE, HI US",19.459069,-154.921985,254.2,3/23/20,,,,,
US1HIHI0052,"PAHOA 3.3 SSE, HI US",19.459069,-154.921985,254.2,3/26/20,,,,,
US1HIHI0052,"PAHOA 3.3 SSE, HI US",19.459069,-154.921985,254.2,3/27/20,,,,,
US1HIHI0052,"PAHOA 3.3 SSE, HI US",19.459069,-154.921985,254.2,3/28/20,,,,,
US1HIHI0052,"PAHOA 3.3 SSE, HI US",19.459069,-154.921985,254.2,3/29/20,,,,,
US1HIHI0052,"PAHOA 3.3 SSE, HI US",19.459069,-154.921985,254.2,3/30/20,,,,,
US1HIHI0052,"PAHOA 3.3 SSE, HI US",19.459069,-154.921985,254.2,3/31/20,,,,,
US1HIHI0011,"PAPAIKOU 1.1 N, HI US",19.809521,-155.09882,108.2,3/1/20,,,,,
US1HIHI0011,"PAPAIKOU 1.1 N, HI US",19.809521,-155.09882,108.2,3/5/20,,,,,
US1HIHI0011,"PAPAIKOU 1.1 N, HI US",19.809521,-155.09882,108.2,3/19/20,,,,,
US1HIHI0011,"PAPAIKOU 1.1 N, HI US",19.809521,-155.09882,108.2,3/24/20,,,,,
US1HIHI0011,"PAPAIKOU 1.1 N, HI US",19.809521,-155.09882,108.2,3/31/20,,,,,
US1HIHI0055,"KURTISTOWN 6.6 SSE, HI US",19.5021,-155.029,339.9,3/1/20,,,,,
US1HIHI0055,"KURTISTOWN 6.6 SSE, HI US",19.5021,-155.029,339.9,3/2/20,,,,,
US1HIHI0055,"KURTISTOWN 6.6 SSE, HI US",19.5021,-155.029,339.9,3/3/20,,,,,
US1HIHI0055,"KURTISTOWN 6.6 SSE, HI US",19.5021,-155.029,339.9,3/4/20,,,,,
US1HIHI0055,"KURTISTOWN 6.6 SSE, HI US",19.5021,-155.029,339.9,3/5/20,,,,,
US1HIHI0055,"KURTISTOWN 6.6 SSE, HI US",19.5021,-155.029,339.9,3/6/20,,,,,
US1HIHI0055,"KURTISTOWN 6.6 SSE, HI US",19.5021,-155.029,339.9,3/7/20,,,,,
US1HIHI0055,"KURTISTOWN 6.6 SSE, HI US",19.5021,-155.029,339.9,3/8/20,,,,,
US1HIHI0055,"KURTISTOWN 6.6 SSE, HI US",19.5021,-155.029,339.9,3/9/20,,,,,
US1HIHI0055,"KURTISTOWN 6.6 SSE, HI US",19.5021,-155.029,339.9,3/10/20,,,,,
US1HIHI0055,"KURTISTOWN 6.6 SSE, HI US",19.5021,-155.029,339.9,3/14/20,,,,,
US1HIHI0055,"KURTISTOWN 6.6 SSE, HI US",19.5021,-155.029,339.9,3/15/20,,,,,
US1HIHI0055,"KURTISTOWN 6.6 SSE, HI US",19.5021,-155.029,339.9,3/16/20,,,,,
US1HIHI0055,"KURTISTOWN 6.6 SSE, HI US",19.5021,-155.029,339.9,3/17/20,,,,,
US1HIHI0055,"KURTISTOWN 6.6 SSE, HI US",19.5021,-155.029,339.9,3/18/20,,,,,
US1HIHI0055,"KURTISTOWN 6.6 SSE, HI US",19.5021,-155.029,339.9,3/19/20,,,,,
US1HIHI0055,"KURTISTOWN 6.6 SSE, HI US",19.5021,-155.029,339.9,3/20/20,,,,,
US1HIHI0055,"KURTISTOWN 6.6 SSE, HI US",19.5021,-155.029,339.9,3/21/20,,,,,
US1HIHI0055,"KURTISTOWN 6.6 SSE, HI US",19.5021,-155.029,339.9,3/22/20,,,,,
US1HIHI0055,"KURTISTOWN 6.6 SSE, HI US",19.5021,-155.029,339.9,3/23/20,,,,,
US1HIHI0055,"KURTISTOWN 6.6 SSE, HI US",19.5021,-155.029,339.9,3/24/20,,,,,
US1HIHI0055,"KURTISTOWN 6.6 SSE, HI US",19.5021,-155.029,339.9,3/25/20,,,,,
US1HIHI0055,"KURTISTOWN 6.6 SSE, HI US",19.5021,-155.029,339.9,3/26/20,,,,,
US1HIHI0055,"KURTISTOWN 6.6 SSE, HI US",19.5021,-155.029,339.9,3/27/20,,,,,
US1HIHI0055,"KURTISTOWN 6.6 SSE, HI US",19.5021,-155.029,339.9,3/28/20,,,,,
US1HIHI0055,"KURTISTOWN 6.6 SSE, HI US",19.5021,-155.029,339.9,3/29/20,,,,,
US1HIHI0055,"KURTISTOWN 6.6 SSE, HI US",19.5021,-155.029,339.9,3/30/20,,,,,
US1HIHI0055,"KURTISTOWN 6.6 SSE, HI US",19.5021,-155.029,339.9,3/31/20,,,,,
US1HIHI0050,"PAAUILO 2.4 SW, HI US",20.019048,-155.398803,613,3/1/20,,,,,
US1HIHI0050,"PAAUILO 2.4 SW, HI US",20.019048,-155.398803,613,3/2/20,,,,,
